"Sex","Age","NOTE","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH","Brachial","Crural","IL UL/LL","IL LL/UL","CBR FHD","McH FHD","GRINE FHD","AVG FHD"
0,52,1,294.5,61,43.47,19.96,22.35,295,62,43.2,20.24,22.82,220,16.86,11.36,216,16.04,10.13,416,411,79.5,69.78,43.63,27.92,24.85,416,410.5,80,70.05,44,29.26,25.49,336,74,21.96,27.99,340.5,75,23.67,27.02,248,144,145,51.03,51.21,0.739609839,0.813100962,0.679814385,1.470989761,58.6772235,58.201785,62.87242,59.91714283
0,37,1,336,61,47.01,20.32,21.82,342,63,47.38,21.43,23.53,244,15.71,13.35,246.5,17.3,14.35,465,460,84,74.55,48.81,30.82,29.6,463.5,459,84.5,74.48,48.46,29.97,28.72,382,78.5,25.34,29.31,379,77.5,25.96,26.76,297.5,165,161,54.83,54.02,0.723451327,0.819601508,0.691624741,1.445870774,70.5676815,68.993765,73.80418,71.1218755
0,49,1,345.5,63.5,47.48,22.14,24.38,347,65,46.9,20.7,25.45,250.5,19.67,15.68,246,19.1,14.87,454,451.5,79,70.71,46.6,29.3,30.38,439.5,436,81,71.03,46.08,27.95,31.33,381,75,28.58,33.82,383,76,25.53,29.52,255,160,155,52.89,51.18,0.716967509,0.855064354,0.7173454,1.394028595,64.906146,63.85526,68.59912,65.786842
0,45,1,326,61.5,46.31,20.92,20.1,326.5,62,45.91,19.45,21.65,234,14.94,13.14,237,16.84,12.86,439,435,79,68.85,45.85,30.62,26.06,442,439,80,69.07,46.27,29.42,26.84,349,71,22.74,27.91,349,70.5,24.71,26.49,255,151,150,51.46,51.67,0.72183908,0.792281498,0.711526282,1.405429462,64.215414,63.22834,67.96408,65.13594467
0,34,1,350,63,49.24,20.65,21.14,351,64.5,48.86,20.32,23.45,261.5,15.7,12.7,265,16.44,13.06,468,464,84,74.04,47.14,26.58,27.66,460.5,457,84,73.04,46.6,28.17,28.9,382,74,24.02,27.46,375,73,24.66,26.59,260.5,156,157,52.1,51.84,0.7510699,0.815293484,0.728270543,1.37311609,66.213603,65.04193,69.80116,67.01889767
0,45,1,322,61,44.88,18.49,21.14,326,60.5,46.11,18.17,20.67,239,14.35,11.89,241,13.53,12.21,434,431.5,80,68.47,46.03,24.94,29.09,432.5,430,79,69.77,46.02,24.2,29.03,335,71,21.69,25.8,335,72.5,23.06,22.42,245.5,153,154,50.5,50.24,0.740740741,0.77322562,0.734136023,1.36214539,64.1290725,63.149975,67.8847,65.0545825
1,23,1,274,50,37.18,17.89,17.45,278,50.5,38.73,19.27,20.31,190.5,12.48,9.16,196,12.28,9.53,401,392,67.5,59.45,39.07,21.86,24.73,394,387,68,60.09,40.17,22,25.02,298.5,63,18.46,24.38,295,64,20.21,22.75,232,146,145,44.18,45.96,0.700181159,0.746540881,0.675909255,1.479488546,54.916308,48.80918,53.35816,52.361216
1,62,1,276,58,40.43,16.46,18.49,280,59,39.91,17.13,19.34,206,14.28,10.36,204.5,13.1,9.64,405,401,74,65.64,39.08,28.3,24.76,398,395,75,62.87,39.38,28.19,25.45,326,66,20.18,26.56,322,69,21.77,25.3,262,155,151,45.64,45.84,0.738309353,0.806973848,0.66609235,1.501293326,54.064782,47.93597,52.47364,51.491464
0,34,1,308,65,45.92,19.11,19.65,310.5,65,46.11,19.2,20.61,246,14.89,12.07,247,15.35,11.53,430,427,80,70.74,44.64,25.94,26.66,423,420.5,80.5,70.21,45.23,26.18,25.7,355,74,22.75,25.14,357,73,23.44,24.14,270,153,152,48.1,49.11,0.797089733,0.834701055,0.710223642,1.408007197,61.4401515,60.709465,65.41258,62.52073217
0,26,1,299,59,42.32,18.53,20.99,308,61,43.98,19.35,22.06,227,14.2,11.24,228.5,13.99,12.27,436,430,77,67.07,44.09,26.46,25.69,426,423,76.5,67.81,42.91,25.13,26.17,328,70,19.29,25.6,328,70.5,22.12,23.34,255,143,143,50.05,49.2,0.750411862,0.761020882,0.699934124,1.428705882,57.90015,57.4965,62.158,59.18488333
0,22,1,338,66,47.56,21.83,21.37,345,66,47.1,22,22.33,259,16.09,12.7,263,16.2,11.78,495,488,89,78.91,53.52,27.26,32.48,489,484,89,77.29,54.02,27.52,31.47,392,81,24.93,29.13,390,81,28.08,27.97,301,173,171,57.82,61.11,0.764275256,0.794715447,0.682332956,1.465560166,83.235213,80.49103,85.45036,83.05886767
